id,title,description,latitude,longitude,
helicon,Mount Helicon,Mountain in Boeotia,38.3167,22.9333,
epidauris,Epidaurus,Ancient city in Argolis,37.6,23.1,
iberia,Iberia,Ancient Spainish peninsula,42.0,44.0,
knidos,Knidos,Ancient city in Caria,36.3833,27.3667,
mytilene,Mytilene,City on the island of Lesbos,39.1,26.55,
pillars_of_hercules,The Pillars of Hercules,Geographical feature in the Strait of Gibraltar,36.0,5.0,
achaea,Achaea,Ancient region in the Peloponnese,37.5,22.0,
abu_simbel,Abu Simbel,Abu Simbel,22.34,31.62,
acrae,Acrae,Acrae,37.06,14.90,
aegina,Aegina,Aegina,37.70,23.48,
aegospotami,Aegospotami,Aegospotami,40.45,26.69,
akragas,Akragas,Akragas,37.30,13.59,
alalia,Alalia,Alalia,42.11,9.53,
amphipolis,Amphipolis,Amphipolis,40.81,2.84,
arcadia,Arcadia,Arcadia,37.57,22.24,
argos,Argos,Argos,37.63,22.72,
artemisium,Artemisium,Artemisium,39.01,23.22,
ascra,Ascra,Ascra,38.32,23.10,
asia_minor,Asia Minor,Asia Minor,39.02,31.77,
athens,Athens,Athens,37.97,23.73,
attica,Attica,Attica,38.06,23.85,
aziris,Aziris,Aziris,32.68,22.87,
babylon,Babylon,Babylon,32.49,44.45,
black_sea,Black Sea,Black Sea,43.41,34.32,
boeotia,Boeotia,Boeotia,38.42,23.16,
borysthenes,Borysthenes,Borysthenes,46.83,32.00,
bubastis,Bubastis,Bubastis,30.60,31.47,
camarina,Camarina,Camarina,36.87,14.45,
caria,Caria,Caria,37.20,28.33,
casmenae,Casmenae,Casmenae,37.08,14.83,
catana,Catana,Catana,37.50,15.08,
chaeronea,Chaeronea,Chaeronea,38.50,22.85,
chalcis,Chalcis,Chalcis,38.46,23.62,
chersonnese,Chersonnese,Chersonnese,40.33,26.43,
chios,Chios,Chios,38.37,26.13,
cinyps_river,Cinyps river,Cinyps river,32.53,14.41,
clazomenae,Clazomenae,Clazomenae,38.35,26.80,
cnidus,Cnidus,Cnidus,36.70,27.39,
colophon,Colophon,Colophon,36.08,27.13,
corcyra,Corcyra,Corcyra,39.62,19.91,
corinth,Corinth,Corinth,37.91,22.88,
crete,Crete,Crete,35.19,24.91,
croton,Croton,Croton,39.08,17.13,
cumae,Cumae,Cumae,40.85,14.05,
cyrene,Cyrene,Cyrene,32.83,21.86,
cyzicus,Cyzicus,Cyzicus,40.38,27.89,
delos,Delos,Delos,37.40,25.27,
delphi,Delphi,Delphi,38.48,22.50,
dodona,Dodona,Dodona,39.55,20.78,
doris,Doris,Doris,38.74,22.49,
egypt,Egypt,Egypt,29.07,30.98,
elea,Elea,Elea,40.16,15.15,
elephantine,Elephantine,Elephantine,24.09,32.89,
eleusis,Eleusis,Eleusis,38.04,23.54,
emporion,Emporion,Emporion,42.13,3.12,
ephesus,Ephesus,Ephesus,37.94,27.34,
epidamnus,Epidamnus,Epidamnus,41.32,19.45,
